Vendor Name,Invoice Number,Invoice Date,Due Date,Amount,Category,Description,Status,Approval Date,Payment Method,Bill Payment ID,GL Account
PowerTools Wholesale,INV-41641,2/4/26,2/4/26,746.66,Marketing,Payment for marketing services,Processing,2/4/26,Wire Transfer,86,60000
CloudHost Technologies,INV-22704,2/4/26,2/4/26,472.43,Technology,Payment for technology services,Processing,2/4/26,Wire Transfer,87,60000
DataStream Analytics Inc,INV-47969,2/4/26,2/4/26,2308.27,Marketing,Payment for marketing services,Pending,2/4/26,ACH,88,60000
LegalEagle Consulting,INV-74268,2/4/26,2/4/26,874.44,Consulting,Payment for consulting services,Pending,2/4/26,Wire Transfer,89,60000
Premium Coffee Company,INV-71861,2/4/26,2/4/26,4194.26,Consulting,Payment for consulting services,Approved,2/4/26,Wire Transfer,90,60000
HealthCare Supplies Plus,INV-78818,2/4/26,2/4/26,3508.98,Consulting,Payment for consulting services,Approved,2/4/26,Wire Transfer,91,60000
FastShip Logistics,INV-45348,2/4/26,2/4/26,676.61,Facilities,Payment for facilities services,Pending,2/4/26,ACH,92,60000
SecureIT Systems,INV-76437,2/4/26,2/4/26,4590.36,Consulting,Payment for consulting services,Pending,2/4/26,Wire Transfer,93,60000
Premium Coffee Company,INV-42955,2/4/26,2/4/26,4246.72,Marketing,Payment for marketing services,Approved,2/4/26,ACH,94,60000
FastShip Logistics,INV-22990,2/4/26,2/4/26,3956.53,Facilities,Payment for facilities services,Pending,2/4/26,ACH,95,60000
SecureIT Systems,INV-68475,2/4/26,2/4/26,4294.08,Consulting,Payment for consulting services,Processing,2/4/26,Check,96,60000
CloudHost Technologies,INV-81423,2/4/26,2/4/26,4078.9,Consulting,Payment for consulting services,Approved,2/4/26,Wire Transfer,97,60000
LegalEagle Consulting,INV-59830,2/4/26,2/4/26,3891.91,Services,Payment for services services,Approved,2/4/26,ACH,98,60000
CloudHost Technologies,INV-52618,2/4/26,2/4/26,3450.4,Technology,Payment for technology services,Pending,2/4/26,Check,99,60000
SecureIT Systems,INV-99056,2/4/26,2/4/26,2697.17,Consulting,Payment for consulting services,Pending,2/4/26,Check,100,60000
CloudHost Technologies,INV-98143,2/4/26,2/4/26,4915.69,Facilities,Payment for facilities services,Pending,2/4/26,Check,101,60000
Acme Office Supplies Inc,INV-46681,2/4/26,2/4/26,2322.06,Services,Payment for services services,Processing,2/4/26,Wire Transfer,102,60000
Acme Office Supplies Inc,INV-88419,2/4/26,2/4/26,3127.97,Facilities,Payment for facilities services,Processing,2/4/26,ACH,103,60000
FreshFood Catering,INV-56820,2/4/26,2/4/26,2934.95,Services,Payment for services services,Processing,2/4/26,Check,104,60000
Premium Coffee Company,INV-91789,2/4/26,2/4/26,2689.33,Facilities,Payment for facilities services,Pending,2/4/26,Check,105,60000
SecureIT Systems,INV-64820,2/4/26,2/4/26,3217.49,Office Supplies,Payment for office supplies services,Pending,2/4/26,ACH,106,60000
Premium Coffee Company,INV-37898,2/4/26,2/4/26,2895.43,Technology,Payment for technology services,Processing,2/4/26,Check,107,60000
PowerTools Wholesale,INV-79021,2/4/26,2/4/26,4452.4,Marketing,Payment for marketing services,Pending,2/4/26,Check,108,60000
HealthCare Supplies Plus,INV-67071,2/4/26,2/4/26,722.53,Office Supplies,Payment for office supplies services,Processing,2/4/26,Wire Transfer,109,60000
FastShip Logistics,INV-94977,2/4/26,2/4/26,314.18,Technology,Payment for technology services,Pending,2/4/26,Wire Transfer,110,60000
FreshFood Catering,INV-59369,2/4/26,2/4/26,1127.23,Marketing,Payment for marketing services,Approved,2/4/26,Wire Transfer,111,60000
FreshFood Catering,INV-11042,2/4/26,2/4/26,4894.21,Consulting,Payment for consulting services,Pending,2/4/26,Check,112,60000
HealthCare Supplies Plus,INV-34598,2/4/26,2/4/26,4267.12,Marketing,Payment for marketing services,Processing,2/4/26,Wire Transfer,113,60000
GreenPrint Marketing,INV-36310,2/4/26,2/4/26,187.48,Consulting,Payment for consulting services,Approved,2/4/26,ACH,114,60000
Acme Office Supplies Inc,INV-55265,2/4/26,2/4/26,1106.88,Facilities,Payment for facilities services,Approved,2/4/26,Wire Transfer,115,60000
Premium Coffee Company,INV-63737,2/4/26,2/4/26,1997.8,Office Supplies,Payment for office supplies services,Approved,2/4/26,ACH,116,60000
DataStream Analytics Inc,INV-82658,2/4/26,2/4/26,919.62,Technology,Payment for technology services,Processing,2/4/26,ACH,117,60000
CloudHost Technologies,INV-25490,2/4/26,2/4/26,931.06,Technology,Payment for technology services,Processing,2/4/26,ACH,118,60000
SecureIT Systems,INV-79944,2/4/26,2/4/26,2859.62,Marketing,Payment for marketing services,Pending,2/4/26,Wire Transfer,119,60000
Acme Office Supplies Inc,INV-86570,2/4/26,2/4/26,76.42,Services,Payment for services services,Approved,2/4/26,Check,120,60000
HealthCare Supplies Plus,INV-86217,2/4/26,2/4/26,3329.05,Office Supplies,Payment for office supplies services,Approved,2/4/26,ACH,121,60000
Acme Office Supplies Inc,INV-99108,2/4/26,2/4/26,3520.91,Office Supplies,Payment for office supplies services,Approved,2/4/26,Wire Transfer,122,60000
PowerTools Wholesale,INV-39538,2/4/26,2/4/26,2813.33,Office Supplies,Payment for office supplies services,Processing,2/4/26,ACH,123,60000
PowerTools Wholesale,INV-35905,2/4/26,2/4/26,3339.22,Technology,Payment for technology services,Processing,2/4/26,ACH,124,60000
GreenPrint Marketing,INV-94684,2/4/26,2/4/26,828.27,Office Supplies,Payment for office supplies services,Approved,2/4/26,ACH,125,60000
HealthCare Supplies Plus,INV-26340,2/4/26,2/4/26,86.95,Facilities,Payment for facilities services,Pending,2/4/26,Wire Transfer,126,60000
FastShip Logistics,INV-91014,2/4/26,2/4/26,1777.48,Marketing,Payment for marketing services,Approved,2/4/26,ACH,127,60000
